Ticker,2020_2021_NI_Grow,2021_2022_NI_Grow,2022_2023_NI_Grow,2023_PE,Average_Growth,Growth_Rate
AVT,-721.3249,258.5338,11.3304,8.227272,-150.4869,Not Ideal
AVTR,391.0806,19.8917,-53.2265,19.699186,119.2486,Not Ideal
AVXL,44.2478,26.561,-0.9859,-5.7031255,23.2743,Ideal 20% - 25%
AVY,33.1355,2.297,-33.5623,20.614801,0.623399999999999,Not Ideal
AWI,-284.8638,10.7533,10.3006,17.783281,-87.93663333333335,Not Ideal
AWK,78.1382,-35.0752,15.122,21.535212,19.395,Not Ideal
AWR,9.1663,-16.9067,59.3461,21.59756,17.2019,Not Ideal
AWRE,-23.5093,-70.364,323.7543,-15.076924,76.627,Not Ideal
AX,17.5912,11.594,27.6047,7.2715516,18.92996666666667,Not Ideal
AXDX,-0.647,-19.5735,-1.4002,-0.454433,-7.2069,Not Ideal
AXGN,13.4491,7.2744,-24.9827,37.70588,-1.4197333333333333,Not Ideal
AXL,-101.0511,989.8305,-152.2551,13.849057,245.5081,Not Ideal
AXNX,45.8017,-25.4399,-89.802,79.25,-23.146733333333334,Not Ideal
AXP,157.0973,-6.7742,11.4453,15.685657,53.9228,Not Ideal
AXS,-613.6925,-63.938,68.678,5.807765,-202.98416666666665,Not Ideal
AXSM,26.7272,43.5044,27.8431,59.96748,32.69156666666667,Not Ideal
AXTA,117.023,-27.3967,39.5616,14.623256,43.06263333333334,Not Ideal
AXTI,350.1235,8.4803,-213.0922,16.666666,48.50386666666666,Not Ideal
AYI,23.3588,25.3673,-9.8958,14.966847,12.943433333333331,Not Ideal
AYX,638.4918,77.2222,-43.8871,28.222221,223.9423,Not Ideal
AZO,25.2365,11.9471,4.0674,17.706175,13.750333333333332,Not Ideal
B,57.5905,-86.5039,18.6735,16.148836,-3.413300000000001,Not Ideal
BA,-64.8103,17.4441,-54.9747,27.246754,-34.11363333333333,Not Ideal
BAC,78.7079,-13.9158,-3.6799,10.396067,20.37073333333333,Ideal 20% - 25%
BANC,4727.0956,-30.2073,-548.3189,6.7772274,1382.8564666666664,Not Ideal
BAND,-37.7811,-171.5225,-183.5105,11.446541,-130.93803333333335,Not Ideal
BANF,68.3269,15.1942,10.0285,15.980287,31.1832,Not Ideal
BANR,73.4249,-2.8202,-6.016,8.778672,21.529566666666664,Ideal 20% - 25%
BATRA,-85.8974,210.6545,266.6569,-96.04762,130.47133333333332,Not Ideal
BATRK,-85.8974,210.6545,266.6569,-155.95834,130.47133333333332,Not Ideal
BAX,16.5154,-289.486,-209.1656,12.498451,-160.7120666666667,Not Ideal
BBCP,-75.3914,-290.2475,10.8593,9.366198,-118.25986666666668,Not Ideal
BBGI,-92.0868,2891.6122,78.6132,-4.857143,959.3795333333334,Not Ideal
BBSI,12.7765,24.1314,7.0746,14.144354,14.660833333333334,Not Ideal
