Ticker,2023_MarketCap
ERII,854208064
ES,21261070336
ESCA,172715536
ESE,2617937408
ESGR,4419779584
ESNT,5654547456
ESP,62955760
ESPR,373119968
ESRT,2462851584
ESS,16367080448
ESSA,164130304
ESTC,10304593920
ETN,127269634048
ETR,22749829120
ETRN,5867432960
ETSY,8054372864
EVBG,1440828800
EVBN,140964816
EVC,216622224
EVER,690413056
EVFM,643153
EVH,3223360256
EVI,260076640
EVOK,3815010
EVOL,11309139
EVR,6990744576
EVRG,12050178048
EVRI,684941760
EVTC,2417269760
EW,51022139392
EWBC,10363048960
EXAS,10911497216
EXC,37570043904
EXEL,6916007936
EXLS,4807735808
EXP,8637009920
EXPD,15792997376
EXPE,17834571776
EXPI,1513461888
EXPO,4657392128
EXPR,3109395
EXR,29385164800
EXTR,1441776000
EYE,1368532608
EYPT,916680192
EZPW,605590912
F,48279601152
FAF,5556494848
FANG,35870330880
FARM,65330636
FARO,355674368
FAST,38898843648
FATE,449442848
FBIO,32121614
FBIZ,274107648
FBK,1718789760
FBMS,747366144
FBNC,1251563136
FBP,2875695872
FC,516578016
FCAP,92229776
FCBC,610946688
FCCO,126107376
FCEL,419292288
FCF,1349389696
FCFS,5137573376
FCN,7633218048
FCNCA,24335898624
FCPT,2159768576
FCX,71913594880
FDBC,263529296
FDP,1222816256
FDS,15890096128
FDX,64419082240
FE,22065285120
FEIM,91078464
FELE,4438162432
FET,229091008
FF,237196544
FFBC,2110921344
FFIC,320336000
FFIN,4221670144
FFIV,9721252864
FFNW,186882944
FFWM,309685216
FGBI,140427776
FGEN,111411328
FHB,2696187904
FHN,8191079936
FI,89886449664
FIBK,2792072448
FICO,28005603328
FIS,38137962496
FISI,265995600
FITB,24931784704
FIVE,8083104256
FIVN,4251250688
FIX,11052712960
FIXX,3018744
FIZZ,4162587648
FL,1970212480
FLIC,212865712
FLL,176410016
FLNT,47175692
FLO,5265556992
FLR,6860617216
FLS,6212905472
FLT,21790322688
FLWS,584989568
FLXS,169751248
FMAO,280124288
FMBH,739618880
FMC,7365450752
FMNB,444168000
FN,6283895296
FNB,4793942528
FNCB,110869872
FND,11806523392
FNF,13525281792
FNKO,326119520
FNLC,245770272
FNWB,96788704
FOLD,2958798080
FONR,101605160
FOR,1568177664
FORD,5408901
FORM,3452077568
FORR,353688192
FOSL,40828044
FOX,14189201408
FOXA,14165925888
FOXF,1634398592
FPI,531099616
FR,6176166400
FRBA,293125952
FRBK,704110
FRD,135549712
FRME,1981264512
FRPH,575908160
FRPT,5122396160
FRT,8706507776
FSBW,243306784
FSFG,110337056
FSLR,18870800384
FSLY,1728268288
FSP,192379808
FSS,4961096704
FSTR,255094352
FTDR,2393534720
FTEK,38284720
FTI,11041554432
FTK,102034184
FTNT,48227000320
FTV,26497220608
FUL,4070932992
FULT,2684012800
FUNC,150192784
FUSB,59842132
FWONA,16181543936
FWONK,16213939200
FWRD,580676224
G,5543436288
GABC,938722496
GAIA,88953664
GALT,217281984
GATX,4353250816
GBCI,4102414080
GBLI,426105856
GBX,1537555072
GCBC,500928448
GCI,357066176
GCO,290467680
GD,78767161344
GDDY,17374164992
GDEN,927805824
GDOT,465134240
GE,177129799680
GEF,2927419136
GEN,12827367424
GENC,248741152
GEO,1885719040
GEOS,161802752
GERN,2314274816
GES,1431736448
GEVO,159283344
GFF,3239714816
GGG,13564706816
GH,2193929984
GHC,3126013184
GHM,301459872
GIFI,111759304
GIII,1278497024
GILD,81302437888
GIS,39778119680
GKOS,4818086400
GLBZ,14264102
GLDD,440458240
GLPI,11601236992
GLRE,428583808
GLT,64711072
GLW,28551651328
GLYC,116010720
GM,50806947840
GME,3392131584
GMED,6724388864
GMRE,572465408
GMS,3685404416
GNE,418698304
GNK,912323392
GNL,1621782400
GNRC,8194214400
GNTX,7934309888
GNTY,331400544
GNW,2605991936
GOGO,1160042496
GOLF,3861113344
GOOD,549667456
GOOG,2023046905856
GOOGL,2021271797760
GORO,40828496
GOSS,160615488
GPC,21899198464
GPI,3979060736
GPK,7943523840
GPMT,218939296
GPN,31316783104
GPOR,2870905344
GPRE,1336199808
GPRO,263477280
GPS,7664486912
GRBK,2434280192
GRC,869418816
GRMN,27749654528
GROW,43316212
GRPN,450496672
GRTS,85119200
GS,138478911488
GSAT,2430256640
GSBC,601349184
GSHD,2161635328
GSIT,99409352
GT,3398385920
GTES,4603894784
GTHX,196791744
GTIM,29878368
GTLS,6056138240
GTN,590622720
GTX,2172146688
GTY,1462508416
GV,13225191
GVA,2450386176
GVP,7644889
GWRE,9198759936
GWRS,295913024
GWW,45268873216
H,15052488704
HA,658481024
HAE,4669781504
HAFC,463228928
HAIN,551570944
HAL,33172230144
HALL,1201106
HALO,4840757248
HAS,8532775424
HASI,2871598080
HAYN,768897472
HBAN,19521398784
HBB,287434720
HBCP,284913312
HBI,1603099904
HBIO,165869360
HBNC,506449376
HCA,81942740992
HCC,3574520320
HCI,1196195328
HCKT,598329536
HCSG,782124736
HD,331222384640
HDSN,451468128
HE,1086484608
HEAR,296865632
HEES,1764014464
HEI,25308190720
HELE,2207425024
