Ticker,2023_PE,Gsector
CFR,12.406658,Financial Services
CGNX,34.907562,Technology
CHCI,,Real Estate
CHCO,13.669824,Financial Services
CHCT,29.47778,Real Estate
CHD,28.847593,Consumer Defensive
CHDN,16.796875,Consumer Cyclical
CHE,22.371014,Healthcare
CHEF,20.29448,Consumer Defensive
CHGG,4.456897,Consumer Defensive
CHH,17.13913,Consumer Cyclical
CHK,12.346153,Energy
CHMG,7.9257517,Financial Services
CHMI,3.7391305,Real Estate
CHRS,49.000004,Healthcare
CHRW,18.205128,Industrials
CHTR,7.4142528,Communication Services
CHUY,13.896227,Consumer Cyclical
CI,11.14705,Healthcare
CIA,,Financial Services
CIEN,14.676189,Technology
CIM,6.645161,Real Estate
CINF,16.456614,Financial Services
CIO,-9.510203,Real Estate
CIVB,6.9658537,Financial Services
CIX,19.559006,Industrials
CIZN,,Financial Services
CKX,,Energy
CL,24.0,Consumer Defensive
CLAR,22.607143,Consumer Cyclical
CLB,12.845529,Energy
CLDT,-917.0,Real Estate
CLDX,-12.110032,Healthcare
CLF,10.496894,Basic Materials
CLFD,301.2,Technology
CLH,21.191277,Industrials
CLIR,26.336666,Industrials
CLNE,46.399998,Energy
CLPR,10.499999,Real Estate
CLRB,-1.0918728,Healthcare
CLRO,-1.3195714,Technology
CLW,9.325052,Basic Materials
CLX,23.104687,Consumer Defensive
CMA,8.197712,Financial Services
CMC,10.578741,Basic Materials
CMCO,12.174041,Industrials
CMCSA,8.487751,Communication Services
CMCT,6.194444,Real Estate
CME,21.006014,Financial Services
CMG,47.37742,Consumer Cyclical
CMI,13.464728,Industrials
CMP,17.054794,Basic Materials
CMRX,-0.9791667,Healthcare
CMS,16.836111,Utilities
CMT,8.044643,Basic Materials
CMTL,2.80597,Technology
CNA,8.321969,Financial Services
CNC,9.613157,Healthcare
CNDT,-18.529411,Technology
CNFR,-12.857142,Financial Services
CNK,10.325301,Communication Services
CNMD,12.360001,Healthcare
CNNE,-35.363636,Consumer Cyclical
CNO,7.6098266,Financial Services
CNOB,8.40845,Financial Services
CNP,16.747126,Utilities
CNS,20.905775,Financial Services
CNSL,-2.805195,Communication Services
CNTY,-13.5,Consumer Cyclical
CNX,13.066668,Energy
CNXN,16.096104,Technology
CODA,15.113637,Industrials
COF,8.892126,Financial Services
COHN,,Financial Services
COHR,18.270903,Technology
COHU,17.52601,Technology
COKE,21.212122,Consumer Defensive
COLB,7.2346153,Financial Services
COLD,56.333332,Real Estate
COLL,10.06267,Healthcare
COLM,18.221968,Consumer Cyclical
COMM,2.483333,Technology
CONN,18.578947,Consumer Cyclical
COO,22.546835,Healthcare
COOP,6.6897745,Financial Services
COP,13.004141,Energy
COR,16.317408,Healthcare
CORT,18.21875,Healthcare
COST,41.49828,Consumer Defensive
COTY,20.070175,Consumer Defensive
CPB,14.151703,Consumer Defensive
CPE,5.1901307,Energy
CPF,8.485107,Financial Services
CPHC,,Consumer Cyclical
CPIX,11.428572,Healthcare
CPK,16.966347,Utilities
CPRI,8.212962,Consumer Cyclical
CPRT,33.524693,Industrials
CPRX,10.598592,Healthcare
CPS,-10.641379,Consumer Cyclical
CPSH,,Technology
CPSI,4.994565,Healthcare
CPSS,10.313253,Financial Services
CPT,56.636364,Real Estate
CR,24.265163,Industrials
CRAI,21.72006,Industrials
CRBP,-7.2343755,Healthcare
CRC,7.972851,Energy
CRI,10.622671,Consumer Cyclical
CRIS,-2.998047,Healthcare
CRK,11.054945,Energy
CRL,18.42317,Healthcare
CRM,24.449091,Technology
CRMD,-58.38889,Healthcare
CRMT,14.906251,Consumer Cyclical
CRNX,-12.378531,Healthcare
CROX,9.219422,Consumer Cyclical
CRS,17.92887,Industrials
CRUS,14.401626,Technology
CRVL,,Financial Services
CRVS,-2.012987,Healthcare
CRWS,6.6842103,Consumer Cyclical
CSCO,12.528,Technology
CSGP,71.50781,Real Estate
CSGS,10.909931,Technology
CSL,17.544058,Industrials
CSPI,,Technology
CSTR,16.08,Financial Services
CSV,9.953307,Consumer Cyclical
CSWI,30.116604,Industrials
CSX,15.238532,Industrials
CTAS,39.996357,Industrials
CTBI,9.702078,Financial Services
CTHR,-5.5533338,Consumer Cyclical
CTLT,36.74342,Healthcare
CTMX,-3.8809526,Healthcare
CTO,-34.019608,Real Estate
CTRE,22.071428,Real Estate
CTRN,178.66667,Consumer Cyclical
CTS,17.528736,Technology
CTSH,13.162325,Technology
CTSO,-4.0499997,Healthcare
CUBE,22.466667,Real Estate
CUBI,6.1967435,Financial Services
CUE,-1.9,Healthcare
CULP,-22.8,Consumer Cyclical
CURO,-0.13461539,Financial Services
CUTR,-0.73333335,Healthcare
CUZ,41.70909,Real Estate
CVBF,10.893333,Financial Services
CVCO,16.223162,Consumer Cyclical
CVCY,7.3940516,Financial Services
CVGI,5.181035,Consumer Cyclical
CVGW,17.387098,Consumer Defensive
CVI,12.502057,Energy
CVLT,31.92212,Technology
CVLY,11.1,Financial Services
CVM,-2.9795918,Healthcare
CVNA,-34.26446,Consumer Cyclical
CVR,,Industrials
CVS,7.408096,Healthcare
CVU,6.7692313,Industrials
CVV,10.853658,Industrials
CVX,11.277622,Energy
CW,22.851217,Industrials
CWBC,6.4067163,Financial Services
CWBR,-0.21938775,Healthcare
CWEN,,Utilities
CWH,9.516432,Consumer Cyclical
CWST,73.49593,Industrials
