Ticker,2023_PE,Gsector,Avg_PE_Gsector
REPL,-2.0957096,Healthcare,
RGEN,80.097565,Healthcare,
RGLS,-3.7704916,Healthcare,
RGNX,-7.0091324,Healthcare,
RIGL,11.666666,Healthcare,
RMD,24.882557,Healthcare,
RMTI,24.333334,Healthcare,
RVNC,-3.4056604,Healthcare,
RYTM,-19.20773,Healthcare,
SAGE,-2.7879999,Healthcare,
SCYX,169.00002,Healthcare,
SEM,13.574163,Healthcare,
SENS,-4.0583334,Healthcare,
SGMO,-1.907037,Healthcare,
SGRY,19.64567,Healthcare,
SIBN,-18.763159,Healthcare,
SIGA,7.9818177,Healthcare,
SILK,-14.953847,Healthcare,
SINT,-4.5400004,Healthcare,
SLDB,-3.202166,Healthcare,
SLNO,-59.546665,Healthcare,
SLP,56.687496,Healthcare,
SLS,-1.3333334,Healthcare,
SNDX,-7.236301,Healthcare,
SNOA,-0.35311112,Healthcare,
SPOK,14.174312,Healthcare,
SPRO,-1.4947368,Healthcare,
SRDX,-88.58621,Healthcare,
SRPT,12.005688,Healthcare,
SRRK,-7.6010365,Healthcare,
SRTS,18.8,Healthcare,
SSKN,-4.1,Healthcare,
STAA,47.875,Healthcare,
STE,21.808102,Healthcare,
STIM,-5.265625,Healthcare,
STRM,-2.7181818,Healthcare,
SUPN,15.435897,Healthcare,
SVRA,-13.470588,Healthcare,
SWAV,53.428806,Healthcare,
SYBX,-17.9,Healthcare,
SYK,25.377073,Healthcare,
SYRS,-1.6167666,Healthcare,
TBIO,-0.6224138,Healthcare,
TBPH,-21.099998,Healthcare,
TCMD,14.806452,Healthcare,
TCON,-0.5043732,Healthcare,
TDOC,-20.901638,Healthcare,
TECH,30.985294,Healthcare,
TENX,-1.0743802,Healthcare,
TFX,13.679554,Healthcare,
TGTX,25.773586,Healthcare,
THC,15.882603,Healthcare,
TMDX,294.15625,Healthcare,
TMO,23.317753,Healthcare,
TNDM,-33.66055,Healthcare,
TNXP,-0.25628573,Healthcare,
TRVN,-0.2962963,Healthcare,
TTNP,-7.3681316,Healthcare,
TTOO,-1.0135952,Healthcare,
TWST,-11.696629,Healthcare,
TXMD,5.3714285,Healthcare,
UFPT,30.419498,Healthcare,
UHS,11.3619995,Healthcare,
UNH,15.573085,Healthcare,
USPH,32.851135,Healthcare,
UTHR,9.361965,Healthcare,
VAPO,-0.41666666,Healthcare,
VBIV,-1.1196078,Healthcare,
VCEL,93.61224,Healthcare,
VCYT,inf,Healthcare,
VEEV,29.157122,Healthcare,
VERU,-4.5,Healthcare,
VKTX,-51.341938,Healthcare,
VNDA,-14.424243,Healthcare,
VNRX,-2.8121877,Healthcare,
VREX,12.6953125,Healthcare,
VRTX,21.618603,Healthcare,
VSTM,-3.696296,Healthcare,
VTVT,-84.54545,Healthcare,
VXRT,-1.8325641,Healthcare,
VYGR,-4.5202312,Healthcare,
WAT,23.519026,Healthcare,
WBA,5.6645365,Healthcare,
WST,39.54425,Healthcare,
WVE,-4.607476,Healthcare,
XBIT,59.000004,Healthcare,
XERS,-7.9545455,Healthcare,
XNCR,-7.122449,Healthcare,
XOMA,-14.905882,Healthcare,
XRAY,12.452282,Healthcare,
XTNT,inf,Healthcare,
YMAB,-54.32143,Healthcare,
ZBH,13.857142,Healthcare,
ZTS,24.765165,Healthcare,
XFOR,-2.3829787,Healthcare,
ZYXI,12.1888895,Healthcare,
AA,15.480176,Basic Materials,12.4010476771875
ALB,13.517978,Basic Materials,12.4010476771875
ALTM,14.193548,Basic Materials,12.4010476771875
