,2020_NI,2021_NI,2022_NI,2023_NI,2024_NI
AN,381600000.0,1373000000.0,1377400000.0,1021100000.0,
ANAB,-19931000.0,-57796000.0,-128724000.0,-163619000.0,
ANDE,7710000.0,103986000.0,131080000.0,101190000.0,
ANET,634557000.0,840854000.0,1352446000.0,2087321000.0,
ANF,,-114021000.0,263010000.0,2816000.0,328123000.0
ANGI,-6283000.0,-71378000.0,-128450000.0,-40940000.0,
ANGO,-166787000.0,-31548000.0,-26547000.0,-52442000.0,
ANIK,-23982000.0,4134000.0,-14859000.0,-82667000.0,
ANIP,-22548000.0,-42603000.0,-47896000.0,18779000.0,
ANIX,-10018355.0,-12954000.0,-13595000.0,-9811000.0,
ANSS,433887000.0,454627000.0,523710000.0,500412000.0,
AON,1969000000.0,1255000000.0,2589000000.0,2564000000.0,
AOS,344900000.0,487100000.0,235700000.0,556600000.0,
AOSL,-6596000.0,58116000.0,453163000.0,12364000.0,
AP,7970000.0,-3861000.0,3416000.0,-39928000.0,
APA,-4784000000.0,1135000000.0,3604000000.0,2855000000.0,
APAM,212617000.0,336516000.0,206755000.0,222289000.0,
APD,1886700000.0,2099100000.0,2256100000.0,2300200000.0,
APDN,-13027219.0,-14286442.0,-8267891.0,-9947059.0,
APEI,18822000.0,17752000.0,-114993000.0,-47286000.0,
APH,1203400000.0,1590800000.0,1902300000.0,1928000000.0,
APLE,-173207000.0,18828000.0,144805000.0,177489000.0,
APLS,-344874000.0,-746354000.0,-652172000.0,-528628000.0,
APOG,,15436000.0,3486000.0,104107000.0,99613000.0
APPF,158403000.0,1028000.0,-68119000.0,2702000.0,
APPN,-33477000.0,-88641000.0,-150920000.0,-111441000.0,
APPS,,54884000.0,35546000.0,16673000.0,
APT,26888000.0,6756000.0,3282000.0,4189000.0,
APTV,1804000000.0,590000000.0,594000000.0,2938000000.0,
APVO,-17750000.0,-28457000.0,8027000.0,-17411000.0,
APYX,-11896000.0,-15172000.0,-23184000.0,-18713000.0,
AQB,-16399985.0,-22322588.0,-22157195.0,,
AQMS,-25762000.0,-18193000.0,-15431000.0,-23938000.0,
AR,-1267897000.0,-186899000.0,1898771000.0,242919000.0,
ARAY,3827000.0,-6311000.0,-5347000.0,-9280000.0,
ARC,6188000.0,9143000.0,11094000.0,8235000.0,
ARCB,71100000.0,213521000.0,298209000.0,195433000.0,
ARCH,-344615000.0,337573000.0,1330914000.0,464038000.0,
ARDX,-94313000.0,-158165000.0,-67207000.0,-66067000.0,
ARE,770959000.0,571247000.0,521660000.0,103639000.0,
ARES,152142000.0,408837000.0,167541000.0,474326000.0,
ARI,18377000.0,223515000.0,265232000.0,58127000.0,
ARKR,-4688000.0,12895000.0,9281000.0,-5928000.0,
ARL,9030000.0,3347000.0,373349000.0,3968000.0,
ARLO,-101251000.0,-56029000.0,-56626000.0,-22036000.0,
ARMK,-461529000.0,-90833000.0,194484000.0,674108000.0,
AROC,-68445000.0,28217000.0,44296000.0,104998000.0,
AROW,40827000.0,49857000.0,48799000.0,30075000.0,
ARR,-215112000.0,15363000.0,-229930000.0,-67923000.0,
ARTNA,16817000.0,16827000.0,17998000.0,16699000.0,
ARTW,-2103486.0,212631.0,97797.0,266969.0,
ARVN,-119300000.0,-191000000.0,-282500000.0,-367300000.0,
ARW,584438000.0,1108197000.0,1426884000.0,903505000.0,
ARWR,-84553000.0,-140848000.0,-176063000.0,-205275000.0,
ASB,306771000.0,350994000.0,366122000.0,182956000.0,
ASGN,200300000.0,409900000.0,268100000.0,219300000.0,
ASH,-508000000.0,220000000.0,927000000.0,178000000.0,
ASIX,46077000.0,139791000.0,171886000.0,54623000.0,
ASMB,-62152000.0,-129855000.0,-93092000.0,-61228000.0,
ASPN,-21809000.0,-37094000.0,-82738000.0,-45811000.0,
ASPS,-67156000.0,11812000.0,-53418000.0,-56290000.0,
ASRT,-28144000.0,-1281000.0,109625000.0,-331942000.0,
ASRV,4598000.0,7072000.0,7448000.0,-3346000.0,
ASTC,-8311000.0,-7603000.0,-8330000.0,-9642000.0,
ASTE,46000000.0,15800000.0,-100000.0,33500000.0,
ASUR,-16311000.0,3193000.0,-14466000.0,-9214000.0,
ASYS,-15723000.0,1508000.0,17367000.0,-12582000.0,
ATEC,-78994000.0,-143032000.0,-151293000.0,-186638000.0,
ATEN,17816000.0,94887000.0,46908000.0,39970000.0,
ATGE,-85334000.0,70027000.0,310991000.0,93358000.0,
ATI,-1572600000.0,184600000.0,323500000.0,410800000.0,
ATKR,152302000.0,587857000.0,913434000.0,689899000.0,
ATLC,94120000.0,177902000.0,135597000.0,102845000.0,
ATLO,18850000.0,23913000.0,19293000.0,10817000.0,
ATNI,-14122000.0,-22108000.0,-5645000.0,-14538000.0,
ATNM,-22215000.0,-24774000.0,-33017000.0,-48818000.0,
ATO,601443000.0,665563000.0,774398000.0,885862000.0,
ATOS,-17828000.0,-20606000.0,-26960000.0,,
ATR,214040000.0,244097000.0,239288000.0,284487000.0,
ATRA,-306620000.0,-340141000.0,-228302000.0,-276126000.0,
ATRC,-48155000.0,50199000.0,-46466000.0,-30438000.0,
ATRI,32115000.0,33055000.0,35008000.0,19411000.0,
ATRO,-115781000.0,-25578000.0,-35747000.0,-26421000.0,
ATSG,32115000.0,231420000.0,198581000.0,60327000.0,
ATUS,436183000.0,990311000.0,194563000.0,53198000.0,
AUBN,7454000.0,8039000.0,10346000.0,1395000.0,
AUMN,-9086000.0,-2095000.0,-9906000.0,-9228000.0,
AVA,129488000.0,147334000.0,155176000.0,171180000.0,
AVAV,,23331000.0,-4188000.0,-176212000.0,
AVB,827630000.0,1004299000.0,1136775000.0,928825000.0,
AVD,15242000.0,18587000.0,27404000.0,7519000.0,
AVGO,2960000000.0,6736000000.0,11495000000.0,14082000000.0,
AVGR,-19006000.0,-17412000.0,-17623000.0,-18320000.0,
AVNS,-27200000.0,6300000.0,50500000.0,-61800000.0,
AVNW,257000.0,110139000.0,21160000.0,11528000.0,
AVRO,-119712000.0,-119126000.0,-105890000.0,12157000.0,
AVT,-31081000.0,193114000.0,692379000.0,770828000.0,
AVTR,116600000.0,572600000.0,686500000.0,321100000.0,
AVXL,-26280470.0,-37909000.0,-47978000.0,-47505000.0,
AVY,555900000.0,740100000.0,757100000.0,503000000.0,
AWI,-99100000.0,183200000.0,202900000.0,223800000.0,
AWK,709000000.0,1263000000.0,820000000.0,944000000.0,
AWR,86425000.0,94347000.0,78396000.0,124921000.0,
AWRE,-7614000.0,-5824000.0,-1726000.0,-7314000.0,
AX,183438000.0,215707000.0,240716000.0,307165000.0,
AXDX,-78208000.0,-77702000.0,-62493000.0,-61618000.0,
AXGN,-23786000.0,-26985000.0,-28948000.0,-21716000.0,
AXL,-561300000.0,5900000.0,64300000.0,-33600000.0,
AXNX,-54915000.0,-80067000.0,-59698000.0,-6088000.0,
AXP,3135000000.0,8060000000.0,7514000000.0,8374000000.0,
AXR,,7392000.0,15862000.0,21790000.0,
AXS,-120424000.0,618609000.0,223083000.0,376292000.0,
AXSM,-102900600.0,-130403000.0,-187134000.0,-239238000.0,
AXTA,121600000.0,263900000.0,191600000.0,267400000.0,
AXTI,3238000.0,14575000.0,15811000.0,-17881000.0,
AYI,248300000.0,306300000.0,384000000.0,346000000.0,
AYX,-24374000.0,-180000000.0,-319000000.0,-179000000.0,
AZO,1732972000.0,2170314000.0,2429604000.0,2528426000.0,
AZPN,229671000.0,319803000.0,,-107760000.0,
AZZ,,39614000.0,84022000.0,-52974000.0,101607000.0
B,63375000.0,99873000.0,13479000.0,15996000.0,
BA,-11941000000.0,-4202000000.0,-4935000000.0,-2222000000.0,
BAC,17894000000.0,31978000000.0,27528000000.0,26515000000.0,
BAH,,608958000.0,466740000.0,271791000.0,
