Ticker,2020_2021_NI_Grow,2021_2022_NI_Grow,2022_2023_NI_Grow,2023_PE
CETX,-25.4256,66.7644,-29.3687,2.0727272
CEVA,-116.6456,-5954.2929,-48.7642,40.54
CF,189.2744,264.8855,-54.4232,13.227806
CFBK,-37.6756,-1.5661,-6.7551,8.324324
CFFI,29.6152,1.7163,-19.0507,
CFFN,17.8835,11.0026,-220.3735,9.734694
CFG,119.3945,-10.608,-22.4313,8.443069
CFR,33.7997,30.7103,3.2501,12.406658
CGNX,58.8554,-22.9941,-47.4613,34.907562
CHCI,553.6503,-46.0137,5.948,
CHCO,-1.6909,15.8844,12.0446,13.669824
CHCT,17.9011,-2.103,-64.9666,29.47778
CHD,5.2933,-49.9819,82.5562,28.847593
CHDN,-404.1514,76.395,-5.0296,16.796875
CHE,-15.9378,-7.0475,9.1678,22.371014
CHEF,-94.0617,-663.6807,24.6486,20.29448
CHGG,-76.5633,-18387.9287,-93.1818,4.456897
CHH,283.2982,14.9486,-22.1721,17.13913
CHK,,,-50.9927,12.346153
CHMG,37.1872,8.9234,-13.1432,7.9257517
CHMI,-123.5131,76.9845,-260.0534,3.7391305
CHRS,-317.0987,1.621,-18.4614,49.000004
CHRW,66.7081,11.4042,-65.4311,18.205128
CHTR,44.4444,8.6162,-9.8516,7.4142528
CHUY,-1016.0899,-30.8888,51.0909,13.896227
CI,-36.5098,24.8417,-22.9714,11.14705
CIA,-761.6855,-64.2299,-6.0368,
CIEN,38.4468,-69.4316,66.6603,14.676189
CIM,654.1743,-176.564,-124.5785,6.645161
CINF,144.0789,-116.4084,-478.4394,16.456614
CIO,10600.1325,-96.4925,-115.7858,-9.510203
CIVB,25.9505,-2.7598,8.971,6.9658537
CIX,60.496,25.9718,8.2507,19.559006
CIZN,8.1229,28.3694,-80.7277,
CKX,141.4231,-260.825,-110.8491,
CL,-19.6289,-17.59,28.8515,24.0
CLAR,370.5681,-367.428,-85.46,22.607143
CLB,-120.2044,-1.389,,12.845529
CLDT,-75.7836,-153.2591,-73.0342,-917.0
CLDX,17.9508,59.3014,25.9105,-12.110032
CLF,-2549.1803,-55.3213,-70.1124,10.496894
CLFD,178.7193,142.8396,-34.093,301.2
CLH,50.7353,102.5831,-8.2304,21.191277
CLIR,14.6281,-27.0308,,26.336666
CLNE,844.3025,-36.9452,69.4056,46.399998
CLPR,54.6474,-37.2084,23.8455,10.499999
CLRB,59.8124,18.5674,32.8036,-1.0918728
CLRO,-1623.5644,-367.1692,,-1.3195714
CLW,-136.4462,-263.7011,134.1304,9.325052
CLX,-24.3876,-34.9296,-67.7489,23.104687
CMA,135.0101,-1.4555,-23.4579,8.197712
CMC,47.714,194.8329,-29.3694,10.578741
CMCO,,225.7193,63.2805,12.174041
CMCSA,34.4124,-62.0736,186.5549,8.487751
CMCT,-94.3394,-796.2353,-919.2802,6.194444
CME,25.2328,2.071,19.8885,21.006014
CMG,83.5431,37.6911,36.6628,47.37742
CMI,19.1168,0.9385,-65.8298,13.464728
