Ticker,2023_MarketCap,Market_Cap_Cat
BLDR,22298738688,large-cap
BLFS,794562048,small-cap
BLK,112260251648,large-cap
BLKB,4024115968,mid-cap
BLMN,2245550848,mid-cap
BLUE,170981424,micro-cap
BMI,5376695296,mid-cap
BMRC,233864080,micro-cap
BMRN,15334709248,large-cap
BMY,89070772224,large-cap
BNED,10812012,micro-cap
BOH,2250354944,mid-cap
BOKF,5734327296,mid-cap
BOOM,316719456,small-cap
BOOT,3226147584,mid-cap
BOTJ,46251204,micro-cap
BOX,3756065024,mid-cap
BPMC,5737512960,mid-cap
BPOP,6143493120,mid-cap
BPRN,184228000,micro-cap
BPTH,4429827,micro-cap
BR,22778281984,large-cap
BRC,2851564288,mid-cap
BRID,95407464,micro-cap
BRKL,744059264,small-cap
BRKR,11337584640,large-cap
BRN,29011848,micro-cap
BRO,23259203584,large-cap
BRT,335894208,small-cap
BRX,6658707968,mid-cap
BRY,653212096,small-cap
BSET,123425920,micro-cap
BSGM,18589012,micro-cap
BSRR,290321376,small-cap
BSX,105641721856,large-cap
BTU,2792786432,mid-cap
BURL,11491795968,large-cap
BUSE,1267332608,small-cap
BV,1062000000,small-cap
BW,91270008,micro-cap
BWA,7568428032,mid-cap
BWEN,45948240,micro-cap
BWFG,181334576,micro-cap
BWXT,8754076672,mid-cap
BXC,949932992,small-cap
BXMT,3062021632,mid-cap
BXP,9719761920,mid-cap
BY,955681664,small-cap
BYD,5122554880,mid-cap
BYFC,46022352,micro-cap
BYND,439648448,small-cap
BZH,884203584,small-cap
C,116980842496,large-cap
CABO,2213082624,mid-cap
CAC,456726720,small-cap
CACC,6277966336,mid-cap
CACI,8968281088,mid-cap
CADE,5054782976,mid-cap
CAG,14714779648,large-cap
CAH,25062727680,large-cap
CAKE,1759567232,small-cap
CAL,1295506304,small-cap
CALA,97450,micro-cap
CALM,2713289216,mid-cap
CALX,1817008256,small-cap
CAMP,5117604,micro-cap
CAPR,166020816,micro-cap
CAR,3402525184,mid-cap
CARA,41104192,micro-cap
CARG,2357176832,mid-cap
CARS,1106255360,small-cap
CASA,3468815,micro-cap
CASH,1283971584,small-cap
CASI,31546896,micro-cap
CASS,588753088,small-cap
CASY,11829956608,large-cap
CAT,167076560896,large-cap
CATC,481484448,small-cap
CATO,99116552,micro-cap
CATY,2503381504,mid-cap
CB,100963008512,large-cap
CBAN,190861984,micro-cap
CBAY,3728216832,mid-cap
CBFV,114223808,micro-cap
CBOE,19113316352,large-cap
CBRE,26670796800,large-cap
CBRL,1291881984,small-cap
CBSH,7091722752,mid-cap
CBT,5056404480,mid-cap
CBU,2280503296,mid-cap
CBZ,3566979328,mid-cap
CC,3982566656,mid-cap
CCBG,449333664,small-cap
CCI,40794300416,large-cap
CCK,9913563136,mid-cap
CCL,19414200320,large-cap
CCNE,399469312,small-cap
CCO,672370816,small-cap
CCOI,3147265280,mid-cap
CCRN,610322240,small-cap
CCS,2521646336,mid-cap
CDE,1801595136,small-cap
CDLX,590131520,small-cap
CDMO,484350880,small-cap
CDNA,401801184,small-cap
