Ticker,2020_2021_NI_Grow,2021_2022_NI_Grow,2022_2023_NI_Grow,2023_PE,Average_Growth,Growth_Rate
ALKS,-56.5501,228.5661,-324.7828,9.562016,-50.922266666666665,Not Ideal
ALL,-71.0545,-179.8637,-85.4151,9.984652,-112.11110000000001,Not Ideal
ALLE,53.6748,-5.176,17.9913,16.342556,22.163366666666665,Ideal 20% - 25%
ALLK,75.8275,18.5622,-41.9597,-1.5071428,17.47666666666667,Not Ideal
ALLO,-42.4583,86.9883,-3.8626,-1.803125,13.555799999999998,Not Ideal
ALLY,182.0276,-43.9869,-40.4901,7.206276,32.51686666666667,Not Ideal
ALNY,-0.6358,32.6365,-61.0803,-83.49716,-9.693200000000003,Not Ideal
ALOT,,400.7009,-58.6094,49.857147,171.04575,Not Ideal
ALPN,80.1467,14.7597,-44.2817,-34.208996,16.874899999999997,Not Ideal
ALRM,-32.8748,7.8054,43.8514,29.588497,6.2606666666666655,Not Ideal
ALSN,47.8261,20.1357,-100.0,8.632912,-10.679400000000001,Not Ideal
ALT,97.9632,-12.748,4.4078,-3.5783782,29.87433333333333,Not Ideal
ALTM,-103.681,45483.3333,,13.854839,22689.82615,Not Ideal
ALTR,-16.2476,393.8481,-79.4469,58.014084,99.38453333333332,Not Ideal
ALV,132.6203,-2.7586,15.3664,10.068808,48.40936666666666,Not Ideal
ALX,216.9603,-56.6449,77.7016,15.987701,79.339,Not Ideal
AM,-370.6481,-1.6208,-100.0,14.255102,-157.42296666666667,Not Ideal
AMAL,14.612,53.9131,7.9789,7.555046,25.50133333333333,Not Ideal
AMAT,62.6969,10.8186,5.0728,22.93561,26.1961,Not Ideal
AMBC,-96.1098,-3164.7059,-99.2322,42.17143,-1120.0159666666666,Not Ideal
AMC,-72.3453,-23.2842,-59.2646,-3.711125,-51.63136666666666,Not Ideal
AMCX,4.4241,-96.9696,2737.2926,2.072797,881.5823666666666,Not Ideal
AMD,26.988,-58.2543,-35.303,31.071566,-22.189766666666667,Not Ideal
AME,13.4811,17.1192,13.2506,23.727638,14.616966666666665,Not Ideal
AMED,13.8687,-43.2688,-108.2178,18.309381,-45.87263333333333,Not Ideal
AMG,179.7725,102.5632,-41.2776,6.4021826,80.35269999999998,Not Ideal
AMGN,-18.8739,11.1828,2.5183,13.9765415,-1.7242666666666662,Not Ideal
AMH,34.7059,44.4471,39.1853,52.188404,39.446099999999994,Not Ideal
AMKR,90.1576,19.1025,-53.0162,14.519315,18.747966666666667,Not Ideal
AMN,363.2958,35.6342,-52.5551,13.0711155,115.45830000000001,Not Ideal
AMNB,44.8694,-20.9024,-24.0182,19.899998,-0.017066666666667157,Not Ideal
AMP,122.751,-7.8431,-18.8314,10.849278,32.0255,Not Ideal
AMPE,7.4305,-4.3221,-47.1629,-2.4444444,-14.684833333333332,Not Ideal
AMPH,4327.3699,47.1215,50.5099,9.870326,1475.0004333333334,Not Ideal
AMRC,30.3523,34.7271,-34.1908,10.363861,10.296199999999997,Not Ideal
AMRK,423.2456,-16.9766,17.9755,7.560297,141.41483333333335,Not Ideal
AMRX,-88.3328,-1323.5128,-35.383,8.94697,-482.4095333333333,Not Ideal
AMS,-102.7487,584.5361,-54.0663,7.5707145,142.5737,Not Ideal
AMSC,,-15.3673,82.5718,310.51752,33.60225,Not Ideal
AMSF,-24.071,-15.4419,11.701,18.809128,-9.270633333333334,Not Ideal
AMSWA,,58.0171,-18.4713,27.026318,19.7729,Not Ideal
AMT,51.881,-31.2303,-15.9984,23.704206,1.5507666666666668,Not Ideal
AMTD,6.6789,0.683,,,3.6809499999999997,Not Ideal
AMTX,28.6096,128.5575,-56.922,-7.82,33.415033333333334,Not Ideal
AMWD,,-148.5709,-415.3321,10.224175,-281.9515,Not Ideal
AMZN,56.4109,-108.1585,-1217.7443,36.672066,-423.1639666666667,Not Ideal
AN,259.8008,0.3205,-25.8676,8.131868,78.08456666666665,Not Ideal
ANAB,189.9804,122.7213,27.1084,-3.6946309,113.27003333333334,Not Ideal
ANDE,1248.716,26.0554,-22.8029,14.499999,417.32283333333334,Not Ideal
ANET,32.5104,60.842,54.3367,30.84244,49.2297,Not Ideal
ANF,,-330.668,-98.9293,15.462298,-214.79865,Not Ideal
ANGI,1036.0497,79.9574,-68.1277,36.083332,349.29313333333334,Not Ideal
ANGO,-81.0849,-15.852,97.544,-11.632652,0.2023666666666628,Not Ideal
ANIK,-117.2379,-459.434,456.343,63.268295,-40.10963333333334,Not Ideal
ANIP,88.9436,12.424,-139.2079,13.12974,-12.613433333333328,Not Ideal
ANIX,29.3027,4.9483,-27.8338,-6.722223,2.1390666666666682,Not Ideal
ANSS,4.78,15.1955,-4.4486,30.820728,5.175633333333334,Not Ideal
AON,-36.2621,106.2948,-0.9656,16.239317,23.02236666666667,Ideal 20% - 25%
AOS,41.2293,-51.6116,136.1476,19.369265,41.92176666666667,Not Ideal
AOSL,-981.0794,679.756,-97.2716,27.358025,-132.865,Not Ideal
AP,-148.4442,-188.4745,-1268.8525,9.347826,-535.2570666666667,Not Ideal
APA,-123.7249,217.533,-20.7825,5.9981346,24.34186666666666,Ideal 20% - 25%
APAM,58.2733,-38.5601,7.5132,11.494445,9.075466666666667,Not Ideal
APD,11.2578,7.4794,1.9547,17.07297,6.8973,Not Ideal
APDN,9.6661,-42.1277,20.3095,-0.35188678,-4.050699999999999,Not Ideal
APEI,-5.6848,-747.7749,-58.8792,14.414584,-270.7796333333333,Not Ideal
APH,32.1921,19.5813,1.351,32.196335,17.708133333333333,Not Ideal
APLE,-110.8702,669.0939,22.571,17.845238,193.59823333333335,Not Ideal
APLS,116.4135,-12.6189,-18.9435,37.851852,28.2837,Not Ideal
APOG,,-77.4164,2886.4314,12.747434,1404.5075,Not Ideal
APPF,-99.351,-6726.3619,-103.9666,45.470196,-2309.8931666666663,Not Ideal
APPN,164.7818,70.2598,-26.1589,-295.0,69.62756666666668,Not Ideal
APPS,,-35.2343,-53.0946,4.269111,-44.16445,Not Ideal
APT,-74.8735,-51.421,27.6356,5.181035,-32.8863,Not Ideal
APTV,-67.2949,0.678,394.6128,9.903632,109.33196666666667,Not Ideal
APVO,60.3211,-128.2075,-316.9054,-0.0905948,-128.2639333333333,Not Ideal
APYX,27.5387,52.8078,-19.2849,-1.9642857,20.353866666666665,Ideal 20% - 25%
AQB,36.1135,-0.7409,,-0.6257097,17.6863,Not Ideal
AQMS,-29.3805,-15.1817,55.1293,-7.002857,3.5223666666666653,Not Ideal
AR,-85.2591,-1115.9343,-87.2065,12.414545,-429.4666333333333,Not Ideal
ARAY,-264.9072,-15.2749,73.5553,16.653847,-68.8756,Not Ideal
ARC,47.7537,21.3387,-25.7707,8.3125,14.440566666666664,Not Ideal
ARCB,200.3108,39.6626,-34.4644,8.917787,68.503,Not Ideal
ARCH,-197.9566,294.2596,-65.1339,7.094066,10.38969999999999,Not Ideal
ARDX,67.7022,-57.5083,-1.6963,167.875,2.8325333333333353,Not Ideal
ARE,-25.9044,-8.6805,-80.1328,31.065617,-38.23923333333334,Not Ideal
ARES,168.7207,-59.0201,183.1104,21.700813,97.60366666666665,Not Ideal
ARI,1116.2758,18.6641,-78.0845,7.996129,352.2851333333333,Not Ideal
ARKR,-375.064,-28.0264,-163.8724,,-188.98760000000001,Not Ideal
ARL,-62.9347,11054.7356,-98.9372,,3630.954566666667,Not Ideal
ARLO,-44.6633,1.0655,-61.085,21.199484,-34.89426666666667,Not Ideal
ARMK,-80.3191,-314.1116,246.6136,16.431702,-49.27236666666667,Not Ideal
AROC,-141.2258,56.9834,137.0372,16.76695,17.598266666666674,Not Ideal
AROW,22.1177,-2.1221,-38.3696,8.584906,-6.124666666666666,Not Ideal
ARR,-107.1419,-1596.6478,-70.4593,4.316901,-591.4163333333333,Not Ideal
ARTNA,0.0595,6.9591,-7.2175,16.547619,-0.06630000000000003,Not Ideal
ARTW,-110.1085,-54.0062,172.9828,,2.9560333333333326,Not Ideal
ARVN,60.1006,47.9058,30.0177,-5.7217236,46.00803333333334,Not Ideal
ARW,89.6175,28.7573,-36.6799,8.0494375,27.231633333333335,Not Ideal
ARWR,66.5795,25.0021,16.5918,-8.62406,36.05779999999999,Not Ideal
ASB,14.4156,4.31,-50.0287,9.025316,-10.434366666666667,Not Ideal
ASGN,104.643,-34.5938,-18.2022,16.26539,17.28233333333333,Not Ideal
ASH,-143.3071,321.3636,-80.7983,16.930824,32.41940000000001,Not Ideal
ASIX,203.3856,22.9593,-68.2214,6.22476,52.707833333333326,Not Ideal
ASMB,108.9313,-28.3108,-34.2285,-0.7956853,15.463999999999999,Not Ideal
ASPN,70.0857,123.0495,-44.6312,24.893938,49.50133333333333,Not Ideal
ASPS,-117.5889,-552.235,5.3765,-6.4748387,-221.48246666666668,Not Ideal
ASRT,-95.4484,-8657.7674,-402.7977,inf,-3052.0044999999996,Not Ideal
ASRV,53.806,5.3167,-144.9248,,-28.600700000000003,Not Ideal
ASTC,-8.5188,9.562,15.7503,-13.554707,5.597833333333333,Not Ideal
ASTE,-65.6522,-100.6329,-33600.0,13.651613,-11255.428366666667,Not Ideal
ASUR,-119.5757,-553.0536,-36.3058,10.229166,-236.31169999999997,Not Ideal
ASYS,-109.591,1051.6578,-172.4477,24.25,256.5397,Not Ideal
ATEC,81.0669,5.7756,23.362,-16.592106,36.734833333333334,Not Ideal
ATEN,432.5943,-50.5644,-14.7907,15.275862,122.41306666666667,Not Ideal
ATGE,-182.0622,344.1016,-69.9805,9.58721,30.686300000000006,Not Ideal
ATI,-111.7385,75.2438,26.9861,20.016722,-3.169533333333336,Not Ideal
ATKR,285.9811,55.3837,-24.4719,10.039722,105.63096666666667,Not Ideal
ATLC,89.0161,-23.7799,-24.1539,4.3359747,13.694099999999999,Not Ideal
ATLO,26.8594,-19.32,-43.933,,-12.1312,Not Ideal
ATNI,56.5501,-74.4663,157.5376,64.43333,46.54046666666667,Not Ideal
ATNM,11.5192,33.2728,47.8572,-71.454544,30.883066666666664,Not Ideal
ATO,10.661,16.3523,14.3936,16.651133,13.8023,Not Ideal
ATOS,15.5822,30.8357,,-5.133333,23.20895,Ideal 20% - 25%
ATR,14.0427,-1.9701,18.889,25.03793,10.320533333333332,Not Ideal
ATRA,10.9324,-32.8802,20.9477,-1.5652174,-0.3333666666666666,Not Ideal
