Ticker,2020_NI,2021_NI,2022_NI,2023_NI,2020_Div,2021_Div,2022_Div,2023_Div,2020_2021_Div_Grow,2021_2022_Div_Grow,2022_2023_Div_Grow
ANDE,7710000.0,103986000.0,131080000.0,101190000.0,0.7,0.705,0.725,0.745,0.0071428571428571,0.0283687943262411,0.0275862068965517
AON,1969000000.0,1255000000.0,2589000000.0,2564000000.0,1.78,1.99,2.1900000000000004,2.405,0.1179775280898876,0.1005025125628142,0.0981735159817348
AOS,344900000.0,487100000.0,235700000.0,556600000.0,0.98,1.06,1.14,1.22,0.0816326530612245,0.0754716981132074,0.0701754385964913
APD,1886700000.0,2099100000.0,2256100000.0,2300200000.0,5.36,6.0,6.48,7.0,0.1194029850746268,0.08,0.0802469135802468
APH,1203400000.0,1590800000.0,1902300000.0,1928000000.0,0.52,0.635,0.81,0.85,0.2211538461538461,0.2755905511811024,0.0493827160493826
ARC,6188000.0,9143000.0,11094000.0,8235000.0,0.02,0.07,0.2,0.2,2.5,1.857142857142857,0.0
ARCB,71100000.0,213521000.0,298209000.0,195433000.0,0.32,0.32,0.44,0.48,0.0,0.375,0.0909090909090908
ARE,770959000.0,571247000.0,521660000.0,103639000.0,4.24,4.48,4.72,4.96,0.0566037735849057,0.0535714285714284,0.0508474576271186
ARES,152142000.0,408837000.0,167541000.0,474326000.0,1.6,1.88,2.44,3.08,0.1749999999999998,0.2978723404255319,0.2622950819672132
ARMK,-461529000.0,-90833000.0,194484000.0,674108000.0,0.317688,0.317688,0.317688,0.333266,0.0,0.0,0.0490355317166527
AROC,-68445000.0,28217000.0,44296000.0,104998000.0,0.58,0.58,0.58,0.61,0.0,0.0,0.0517241379310345
AROW,40827000.0,49857000.0,48799000.0,30075000.0,1.009708,1.009708,1.056408,1.08,0.0,0.0462509953372657,0.0223322807097258
ARTNA,16817000.0,16827000.0,17998000.0,16699000.0,1.007,1.0470000000000002,1.092,1.136,0.0397219463753726,0.0429799426934096,0.0402930402930401
ASB,306771000.0,350994000.0,366122000.0,182956000.0,0.72,0.76,0.81,0.85,0.0555555555555556,0.0657894736842105,0.0493827160493826
ASH,-508000000.0,220000000.0,927000000.0,178000000.0,1.1,1.175,1.3050000000000002,1.49,0.0681818181818181,0.1106382978723405,0.1417624521072795
ASRV,4598000.0,7072000.0,7448000.0,-3346000.0,0.1,0.1,0.1149999999999999,0.12,0.0,0.1499999999999988,0.0434782608695661
ATLO,18850000.0,23913000.0,19293000.0,10817000.0,0.99,1.03,1.07,1.08,0.0404040404040404,0.0388349514563107,0.0093457943925233
ATNI,-14122000.0,-22108000.0,-5645000.0,-14538000.0,0.68,0.68,0.72,0.87,0.0,0.0588235294117645,0.2083333333333333
ATO,601443000.0,665563000.0,774398000.0,885862000.0,2.35,2.555,2.78,3.025,0.0872340425531915,0.0880626223091975,0.0881294964028777
ATR,214040000.0,244097000.0,239288000.0,284487000.0,1.44,1.5,1.52,1.58,0.0416666666666667,0.0133333333333333,0.0394736842105263
ATRI,32115000.0,33055000.0,35008000.0,19411000.0,6.6,7.4,8.2,8.7,0.1212121212121213,0.1081081081081079,0.0609756097560975
AUBN,7454000.0,8039000.0,10346000.0,1395000.0,1.02,1.04,1.06,1.08,0.0196078431372549,0.0192307692307692,0.0188679245283019
AVA,129488000.0,147334000.0,155176000.0,171180000.0,1.62,1.692,1.76,1.84,0.0444444444444443,0.0401891252955083,0.0454545454545455
AVB,827630000.0,1004299000.0,1136775000.0,928825000.0,6.36,6.36,6.36,6.6,0.0,0.0,0.0377358490566036
AVD,15242000.0,18587000.0,27404000.0,7519000.0,0.04,0.08,0.105,0.12,1.0,0.3124999999999999,0.1428571428571428
AVGO,2960000000.0,6736000000.0,11495000000.0,14082000000.0,13.35,14.9,16.9,19.05,0.1161048689138577,0.1342281879194629,0.1272189349112427
AVT,-31081000.0,193114000.0,692379000.0,770828000.0,0.84,0.91,1.1,1.2,0.0833333333333334,0.2087912087912088,0.0909090909090907
AVY,555900000.0,740100000.0,757100000.0,503000000.0,2.36,2.66,2.93,3.18,0.1271186440677967,0.1015037593984962,0.0853242320819112
AWI,-99100000.0,183200000.0,202900000.0,223800000.0,0.81,0.861,0.947,1.042,0.0629629629629628,0.0998838559814169,0.1003167898627244
AWK,709000000.0,1263000000.0,820000000.0,944000000.0,2.1500000000000004,2.359,2.568,2.779,0.0972093023255812,0.0885968630775752,0.0821651090342678
AWR,86425000.0,94347000.0,78396000.0,124921000.0,1.28,1.4,1.526,1.656,0.0937499999999999,0.09,0.0851900393184796
AXP,3135000000.0,8060000000.0,7514000000.0,8374000000.0,1.72,1.72,1.99,2.32,0.0,0.1569767441860465,0.1658291457286431
AXS,-120424000.0,618609000.0,223083000.0,376292000.0,1.65,1.69,1.73,1.76,0.0242424242424242,0.0236686390532544,0.0173410404624277
AYI,248300000.0,306300000.0,384000000.0,346000000.0,0.52,0.52,0.52,0.52,0.0,0.0,0.0
B,63375000.0,99873000.0,13479000.0,15996000.0,0.64,0.64,0.64,0.64,0.0,0.0,0.0
BAC,17894000000.0,31978000000.0,27528000000.0,26515000000.0,0.72,0.78,0.86,0.92,0.0833333333333334,0.1025641025641025,0.0697674418604651
BANC,12574000.0,606959000.0,423613000.0,-1899137000.0,0.24,0.24,0.24,0.4,0.0,0.0,0.6666666666666669
BANF,99586000.0,167630000.0,193100000.0,212465000.0,1.32,1.4,1.52,1.66,0.0606060606060604,0.0857142857142858,0.0921052631578946
BAX,1102000000.0,1284000000.0,-2433000000.0,2656000000.0,0.955,1.085,1.15,1.16,0.1361256544502617,0.0599078341013824,0.008695652173913
BBSI,33765000.0,38079000.0,47268000.0,50612000.0,1.2,1.2,1.2,1.2,0.0,0.0,0.0
BC,372700000.0,593300000.0,677000000.0,420400000.0,0.99,1.275,1.46,1.6,0.2878787878787878,0.1450980392156863,0.0958904109589042
BCBP,20857000.0,34240000.0,45579000.0,29483000.0,0.56,0.6000000000000001,0.64,0.64,0.0714285714285714,0.0666666666666665,0.0
BCO,16000000.0,105200000.0,170600000.0,87700000.0,0.6,0.75,0.8,0.86,0.25,0.0666666666666667,0.0749999999999999
BCPC,84623000.0,96104000.0,105367000.0,108543000.0,0.58,0.64,0.71,0.79,0.103448275862069,0.1093749999999999,0.1126760563380282
BDC,-55162000.0,63925000.0,254663000.0,242759000.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
BDX,874000000.0,2092000000.0,1779000000.0,1484000000.0,3.121952,3.278048,3.49878,3.68,0.0499994875001282,0.0673364148420035,0.0517951971830181
BELFA,12795000.0,24821000.0,52689000.0,73831000.0,0.24,0.24,0.24,0.24,0.0,0.0,0.0
BELFB,12795000.0,24821000.0,52689000.0,73831000.0,0.28,0.28,0.28,0.28,0.0,0.0,0.0
BFIN,9163000.0,7410000.0,10494000.0,9393000.0,0.4,0.4,0.4,0.4,0.0,0.0,0.0
BFS,40382000.0,48389000.0,50194000.0,52689000.0,2.12,2.16,2.32,2.36,0.0188679245283019,0.0740740740740739,0.0172413793103448
