Ticker,2023_PE,Gsector,Avg_PE_Gsector
MTD,28.025417,Healthcare,
MTEM,-0.43249363,Healthcare,
MTNB,-1.7318182,Healthcare,
MYGN,86.565216,Healthcare,
NAVB,-0.21875,Healthcare,
NBIX,21.741812,Healthcare,
NBY,3.935,Healthcare,
NEO,100.75,Healthcare,
NEOG,22.345453,Healthcare,
NERV,-0.5176211,Healthcare,
NHC,210.67441,Healthcare,
NKTR,-2.1126761,Healthcare,
NNVC,-1.027027,Healthcare,
NRC,29.366379,Healthcare,
NSTG,-0.06343374,Healthcare,
NTLA,-3.9799638,Healthcare,
NTRA,-79.38235,Healthcare,
NURO,11.749999,Healthcare,
NVAX,-108.25,Healthcare,
NVRO,-5.04054,Healthcare,
OCUL,-5.5170455,Healthcare,
OCX,-1.2727273,Healthcare,
OFIX,inf,Healthcare,
OGEN,-0.098148145,Healthcare,
OMCL,18.975525,Healthcare,
OMER,-1.7402235,Healthcare,
OMI,12.8375635,Healthcare,
ONTX,-1.1573255,Healthcare,
ONVO,-0.7486131,Healthcare,
OPGN,-1.6896553,Healthcare,
OPK,-4.769231,Healthcare,
OPRX,17.23729,Healthcare,
OPTN,-9.113334,Healthcare,
ORGO,40.333336,Healthcare,
OSUR,-22.270832,Healthcare,
PACB,-2.0243902,Healthcare,
PAHC,12.869919,Healthcare,
PBH,15.388768,Healthcare,
PBYI,28.82353,Healthcare,
PCRX,7.233146,Healthcare,
PDCO,10.408536,Healthcare,
PDEX,13.623188,Healthcare,
PEN,52.007816,Healthcare,
PETQ,10.347134,Healthcare,
PETS,-400.50003,Healthcare,
PFE,10.068627,Healthcare,
PHIO,-0.19646068,Healthcare,
PINC,8.985043,Healthcare,
PLSE,-8.05,Healthcare,
PODD,45.42328,Healthcare,
PRGO,11.115646,Healthcare,
PRPH,9.488958,Healthcare,
PRTA,-5.085956,Healthcare,
PTCT,-7.480279,Healthcare,
PTGX,-31.08642,Healthcare,
PTN,-1.9062501,Healthcare,
PULM,-0.44666666,Healthcare,
QDEL,10.900553,Healthcare,
QTRX,-17.88764,Healthcare,
RARE,-8.7365265,Healthcare,
RCKT,-11.85326,Healthcare,
RCM,45.907406,Healthcare,
RCUS,-3.6952384,Healthcare,
RDNT,63.991844,Healthcare,
REGN,18.780693,Healthcare,
REPL,-2.148515,Healthcare,
RGEN,81.9439,Healthcare,
RGLS,-4.0665574,Healthcare,
RGNX,-7.2511415,Healthcare,
RIGL,11.888889,Healthcare,
RMD,24.794184,Healthcare,
RMTI,24.500002,Healthcare,
RVNC,-3.523585,Healthcare,
RYTM,-19.396137,Healthcare,
SAGE,-2.8600001,Healthcare,
SCYX,172.0,Healthcare,
SEM,13.416269,Healthcare,
SENS,-3.8783336,Healthcare,
SGMO,-1.8770369,Healthcare,
SGRY,19.440945,Healthcare,
SIBN,-19.078947,Healthcare,
SIGA,7.7818184,Healthcare,
SILK,-14.92877,Healthcare,
SINT,-4.9300003,Healthcare,
SLDB,-3.2563179,Healthcare,
SLNO,-61.36,Healthcare,
SLP,56.037502,Healthcare,
SLS,-1.3598925,Healthcare,
SNDX,-7.1677737,Healthcare,
SNOA,-0.36644447,Healthcare,
SPOK,14.270642,Healthcare,
SPRO,-1.5448421,Healthcare,
SRDX,-87.96552,Healthcare,
SRPT,12.148815,Healthcare,
SRRK,-7.756477,Healthcare,
SRTS,17.825,Healthcare,
SSKN,-4.5,Healthcare,
STAA,48.494793,Healthcare,
STE,21.785715,Healthcare,
STIM,-5.40625,Healthcare,
STRM,-2.8772728,Healthcare,
SUPN,15.5948715,Healthcare,
SVRA,-13.764706,Healthcare,
SWAV,53.430424,Healthcare,
SYBX,-17.8,Healthcare,
SYK,25.551659,Healthcare,
SYRS,-1.5988024,Healthcare,
TBIO,-0.62086207,Healthcare,
TBPH,-21.949999,Healthcare,
TCMD,15.112904,Healthcare,
TCON,-0.568105,Healthcare,
TDOC,-21.691803,Healthcare,
TECH,31.629904,Healthcare,
TENX,-1.1134986,Healthcare,
TFX,13.528178,Healthcare,
TGTX,25.273586,Healthcare,
THC,15.424328,Healthcare,
TMDX,297.875,Healthcare,
TMO,23.570547,Healthcare,
TNDM,-34.43119,Healthcare,
TNXP,-0.25428572,Healthcare,
TRVN,-0.3037037,Healthcare,
TTNP,-7.252747,Healthcare,
TTOO,-0.9157704,Healthcare,
TWST,-11.949813,Healthcare,
TXMD,5.457143,Healthcare,
UFPT,32.77105,Healthcare,
UHS,11.273,Healthcare,
UNH,15.589183,Healthcare,
USPH,32.747574,Healthcare,
UTHR,9.423092,Healthcare,
VAPO,-0.43402776,Healthcare,
