Ticker,2023_MarketCap
CENTA,2562617856
CENX,1623649152
CERS,309993952
CETX,1485056
CEVA,480119360
CF,14905444352
CFBK,117393320
CFFI,132869456
CFFN,642587072
CFG,15776468992
CFR,6747344384
CGNX,7178680832
CHCI,72712680
CHCO,1521786880
CHCT,739072832
CHD,26027102208
CHDN,9486379008
CHE,8574599680
CHEF,1337983872
CHGG,581103616
CHH,5896915456
CHK,12008288256
CHMG,202909552
CHMI,106479552
CHRS,235508352
CHRW,8134554112
CHTR,37202948096
CHUY,522653248
CI,101124415488
CIA,113357208
CIEN,6805017600
CIM,1010765312
CINF,18025502720
CIO,186716576
CIVB,227464400
CIX,413989952
CIZN,44204472
CKX,29262454
CL,74857037824
CLAR,242035776
CLB,755496640
CLDT,467051008
CLDX,2418256128
CLF,8301477888
CLFD,436936032
CLH,10539027456
CLIR,38576524
CLNE,532482272
CLPR,177574720
CLRB,99684944
CLRO,21914948
CLW,757483840
CLX,18346590208
CMA,6765914624
CMC,6230875648
CMCO,1203438592
CMCSA,149078327296
CMCT,78272312
CME,74914627584
CMG,87538556928
CMI,39319584768
CMP,536902336
CMRX,84303824
CMS,17933031424
CMT,171826672
CMTL,56662864
CNA,11862668288
CNC,39031599104
CNDT,679132992
CNFR,11977220
CNK,2109262208
CNMD,2071038976
CNNE,1237243904
CNO,2826942976
CNOB,694212480
CNP,18302834688
CNS,3457347072
CNSL,512209728
CNTY,91079696
CNX,3657958144
CNXN,1652162944
CODA,74745360
COF,55125569536
COHN,12717144
COHR,8583506944
COHU,1453070848
COKE,7697205760
COLB,3942437120
COLD,6296445440
COLL,1242816640
COLM,4779290624
COMM,203035424
CONN,91082760
COO,17629657088
COOP,5061829120
COP,149918367744
COR,47585677312
CORR,1627350
CORT,2462494464
COST,319721996288
COTY,10307871744
CPB,13475746816
CPE,2378336768
CPF,544361472
CPHC,117436840
CPIX,23816520
CPK,2343643904
CPRI,4108986624
CPRT,53168848896
CPRX,1768984832
CPS,264346624
CPSH,26207156
CPSI,133326672
CPSS,179604144
CPT,10695050240
CR,8254372352
CRAI,1033737664
CRBP,367016512
CRC,3682188800
CRI,2521688064
CRIS,85817808
CRK,2984843264
CRL,11827909632
CRM,264994308096
CRMD,291399840
CRMT,366523008
CRNX,3426168832
CROX,7675830784
CRS,4235136768
CRUS,4828800512
CRVL,4089982208
CRVS,77235800
CRWS,52227568
CSCO,191303974912
CSGP,37726720000
CSGS,1432855680
CSL,18841268224
CSPI,135481680
CSTR,418353376
CSV,393740704
CSWI,3735876864
CSX,65519480832
CTAS,67691552768
CTBI,754815872
CTHR,10208058
CTLT,10167119872
CTMX,111622008
CTO,395546720
CTRE,3334327040
CTRN,187061872
CTS,1439062144
CTSH,32979210240
CTSO,43624332
CUBE,9186195456
CUBI,1486377856
CUE,71019216
CULP,57486240
CURO,2891035
CUTR,44911352
CUZ,3554506752
CVBF,2295008256
CVCO,3125558784
CVCY,235332512
CVGI,202430192
CVGW,467435872
CVI,3149636096
CVLT,4647341056
CVLY,216437312
CVM,77190256
CVNA,14668872704
CVR,15981949
CVS,85340553216
CVU,35095084
CVV,30983276
CVX,302910537728
CW,9904184320
CWBC,330605920
CWBR,2499959
CWEN,4554389504
CWH,922619712
CWST,5293657088
CWT,2826774528
CXW,1665564416
CYAN,3185052
CYCC,2782583
CYH,450944640
CYRX,813672448
CYTK,6404234240
CZNC,265887360
CZR,7991203328
CZWI,109274600
D,42595790848
DAIO,26079426
DAKT,420899456
DAL,32620572672
DAN,1785059200
DAR,6934452224
DARE,35002536
DBD,1213028736
DBI,534340064
DBX,8099244544
DCI,8767677440
DCO,791358272
DCOM,724913856
DCPH,2078262144
DD,30707533824
DDD,463644544
DDS,7088009216
DE,109879042048
DEA,1188499584
DECK,21280991232
DEI,2741866752
DELL,89566371840
DENN,424991520
DFIN,1865961344
DFS,31896924160
DG,30779203584
DGICA,443846304
DGII,1118516096
DGLY,5965598
DGX,15376798720
DHI,47467032576
DHIL,423693792
DHR,181638660096
DHX,113347728
DIN,694612352
DIOD,3410289664
DIS,204120899584
DIT,98853376
DJCO,468203968
DK,1798942336
DKS,16753083392
DLA,16993976
DLB,7513449472
DLHC,152126176
DLR,45019111424
DLTH,148658544
DLTR,25687117824
DLX,874863488
DMRC,466579136
DNLI,2199392256
DNOW,1563717760
DOC,13382414336
DOCU,11549778944
DOMO,285994624
DOOR,2914089472
DORM,2729512192
DOV,24973778944
DOW,40437862400
DPZ,18851354624
DRH,1910598400
DRI,18468179968
DRQ,650362112
DRRX,29751110
DSKE,391290496
DSS,12156257
DTE,22749618176
DUK,75714936832
DVA,12174875648
DVAX,1482677760
DVN,32918401024
DWSN,50224048
DX,756777792
DXC,3646447872
DXCM,50597335040
DXLG,192523808
DXPE,800601216
DXYN,8231111
DY,4160113152
DZSI,40170752
EA,33969489920
EAF,432040544
EARN,132494024
EAT,2367918848
EB,532257024
EBAY,26355345408
EBF,516174368
EBMT,102213944
EBS,96996328
EBTC,309167456
ECL,65443827712
ECPG,983124800
ED,32314542080
EDIT,435597216
EDUC,18513556
EE,1820219776
EEFT,4747115008
EEX,346180992
EFC,977725632
EFOI,7136622
EFSC,1425434496
EFX,27985528832
EGAN,194704224
EGBN,569458880
EGHT,283251200
EGLE,693163520
EGP,7545054208
EGRX,52156756
EGY,677166592
EHC,8324637696
EHTH,126750632
EIG,1081787392
EIGR,2552120
EIX,27304587264
EKSO,23811124
EL,52896272384
ELAN,6625840640
ELF,9351801856
ELMD,136135600
ELOX,3174823
ELS,11784779776
ELSE,14226283
EME,17157509120
EMKR,21263082
EML,194314144
EMN,11293031424
EMR,62592856064
ENG,8920883
ENPH,15092789248
ENR,2054409600
ENS,3708572160
ENSG,6716165632
ENSV,5800617
ENTA,290154528
ENTG,20751550464
ENV,3417611008
ENVA,1697602048
ENZ,53530856
EOG,77251510272
EOLS,727338816
EPAM,13780594688
EPC,1869495168
EPM,190864832
EPR,3093304064
EPRT,4608795136
EQBK,509496096
EQC,2010431232
EQH,12200420352
EQIX,67533352960
EQR,24596996096
EQT,18056695808
ERIE,19843567616
ERII,848475136
ES,21069924352
ESCA,183111744
ESE,2670579968
ESGR,4456615424
ESNT,5719665152
ESP,60716228
ESPR,375960960
ESRT,2503447808
ESS,16466778112
ESSA,164738192
ESTC,10498649088
ETN,128605265920
ETR,22781820928
ETRN,5997531648
ETSY,8089560576
EVBG,1436889856
EVBN,142121616
EVC,221286352
EVER,683224768
EVFM,722628
EVH,3259381760
EVI,272117216
EVOK,3916743
EVOL,11309139
EVR,7087228928
EVRG,12004228096
EVRI,692009152
EVTC,2450118400
EW,51709104128
EWBC,10598161408
EXAS,10922528768
EXC,37250121728
EXEL,6933696000
EXLS,4885654528
EXP,8846121984
EXPD,15912888320
EXPE,17953130496
EXPI,1527137792
EXPO,4728334848
EXPR,3109395
EXR,29818456064
EXTR,1472671104
EYE,1392100864
EYPT,910950912
EZPW,610554752
F,49054461952
FAF,5583203328
FANG,36233256960
FARM,65646756
FARO,356243456
FAST,39173664768
FATE,458545504
FBIO,32890996
FBIZ,275185184
FBK,1728169088
FBMS,746211008
FBNC,1264527360
FBP,2904036096
FC,523078400
FCAP,95583584
FCBC,613340416
FCCO,127404304
FCEL,407225984
FCF,1362771072
FCFS,5174165504
FCN,7721837056
FCNCA,24526919680
FCPT,2180951808
FCX,73303195648
FDBC,266257456
FDP,1229033088
FDS,15991103488
FDX,64825114624
FE,22048020480
FEIM,92027200
FELE,4563097088
FET,235847056
FF,238942688
FFBC,2122378112
FFIC,321208032
FFIN,4263087360
FFIV,9704199168
FFNW,187066416
FFWM,324943424
FGBI,131299352
FGEN,105452808
FHB,2739654144
FHN,8320094720
FI,90083688448
FIBK,2823443968
FICO,28411109376
FIS,38632095744
FISI,267231360
FITB,25136381952
FIVE,8086418432
FIVN,4323618816
FIX,11141304320
FIXX,3018744
FIZZ,4092899584
FL,1971629824
FLIC,211741824
FLL,180906752
FLNT,41748448
FLO,5240221696
FLR,6872525312
FLS,6405247488
FLT,21790322688
FLWS,591439360
FLXS,182729808
FMAO,288391392
FMBH,742485632
FMC,7470297088
FMNB,447547136
FN,6383379968
FNB,4851441152
FNCB,107662056
FND,11756806144
FNF,13683760128
FNKO,320764480
FNLC,248219056
FNWB,103304232
FOLD,2995820288
FONR,102315240
FOR,1568430720
FORD,5533660
FORM,3523302144
FORR,367299040
FOSL,40114156
FOX,14233728000
FOXA,14248153088
FOXF,1640277888
FPI,531099616
FR,6272031744
FRBA,292122112
FRBK,352055
FRD,135410176
FRME,1995492736
FRPH,584078464
FRPT,5162961920
FRT,8673075200
FSBW,249225936
FSFG,109548240
FSLR,19188703232
FSLY,1748761600
FSP,200654208
FSS,5058732032
FSTR,262335744
FTDR,2402503680
FTEK,38895456
FTI,11231182848
FTK,103813848
FTNT,48982691840
FTV,27004848128
FUL,4088914688
FULT,2740774400
FUNC,151256560
FUSB,58539956
FWONA,16355650560
FWONK,16332120064
FWRD,577379904
G,5615569408
GABC,936947456
GAIA,92902000
GALT,218210544
GATX,4399145472
GBCI,4172715008
GBLI,426105856
GBX,1527904640
GCBC,508590528
GCI,357803904
GCO,294828736
GD,78691713024
GDDY,17687916544
GDEN,931279616
GDOT,469652704
GE,180430061568
GEF,2935062528
GEN,13139452928
GENC,249327488
GEO,1898409088
GEOS,164604688
GERN,2334885376
GES,1437617408
GEVO,161435168
GFF,3295094784
GGG,13776126976
GH,2213431552
GHC,3151106048
GHM,305730560
GIFI,116456432
GIII,1285763712
GILD,81059282944
GIS,39586177024
GKOS,4847697408
GLBZ,14422912
GLDD,455473856
GLPI,11766852608
GLRE,426037760
GLT,65842388
GLW,28987879424
GLYC,106343160
GM,51394539520
GME,3364602880
GMED,6791916544
GMRE,577088896
GMS,3703130368
GNE,428008800
GNK,917881088
GNL,1633449984
GNRC,8233690624
GNTX,7993296896
GNTY,341551360
GNW,2645543168
GOGO,1163883648
GOLF,3890239488
GOOD,549729088
GOOG,2066422431744
GOOGL,2065973772288
GORO,44396548
GOSS,152675200
GPC,22065659904
GPI,4002202880
GPK,8024956416
GPMT,223022064
GPN,31589724160
GPOR,2890893568
GPRE,1355463808
GPRO,269554016
GPS,7899799552
GRBK,2489369600
GRC,866797760
GRMN,28028168192
GROW,43640676
GRPN,453029728
GRTS,83193376
GS,139163680768
GSAT,2439676416
GSBC,606145920
GSHD,2149780736
GSIT,101688432
GT,3412593408
GTES,4670522880
GTHX,195747744
GTIM,30661696
GTLS,6140637184
GTN,593704256
GTX,2141473152
GTY,1464127360
GV,8694530
GVA,2438685952
GVP,7758267
GWRE,9344156672
GWRS,304495456
GWW,45853065216
H,15224471552
HA,649148224
HAE,4643627008
HAFC,467164864
HAIN,544384320
HAL,33800792064
HALL,1182012
HALO,4922072064
HAS,8747139072
HASI,2892265472
HAYN,772284928
HBAN,19644583936
HBB,300294368
HBCP,288983488
HBI,1613646592
HBIO,161483824
HBNC,508655168
HCA,81699094528
HCC,3588117760
HCI,1179171200
HCKT,605087936
HCSG,802745728
HD,331053891584
HDSN,459204992
HE,1096411776
HEAR,292865312
HEES,1766023552
HEI,25257551872
HELE,2198853376
HES,49558372352
HFBL,35367636
HFWA,607765312
HGV,4416049152
HHS,51952672
HI,3431825920
HIBB,1028722752
HIFS,380671648
