Ticker,2023_MarketCap,Market_Cap_Cat
BRKR,11603546112,large-cap
BRN,28358202,micro-cap
BRO,23239235584,large-cap
BRT,340200544,small-cap
BRX,6810864128,mid-cap
BRY,660136640,small-cap
BSET,123249352,micro-cap
BSGM,14501669,micro-cap
BSRR,300721408,small-cap
BSX,106200276992,large-cap
BTU,2904167168,mid-cap
BURL,11731288064,large-cap
BUSE,1272438272,small-cap
BV,1064832000,small-cap
BW,91270008,micro-cap
BWA,7665429504,mid-cap
BWEN,47682140,micro-cap
BWFG,179515696,micro-cap
BWXT,8826288128,mid-cap
BXC,957382080,small-cap
BXMT,3076776448,mid-cap
BXP,9909006336,mid-cap
BY,957445696,small-cap
BYD,5076604416,mid-cap
BYFC,45836780,micro-cap
BYND,439583552,small-cap
BZH,885938496,small-cap
C,118254223360,large-cap
CABO,2190156544,mid-cap
CAC,443926112,small-cap
CACC,6306868736,mid-cap
CACI,8972517376,mid-cap
CADE,5129682432,mid-cap
CAG,14786489344,large-cap
CAH,24916789248,large-cap
CAKE,1767722880,small-cap
CAL,1301134464,small-cap
CALA,97450,micro-cap
CALM,2717212160,mid-cap
CALX,1834044672,small-cap
CAMP,5428127,micro-cap
CAPR,164445648,micro-cap
CAR,3497881600,mid-cap
CARA,40426320,micro-cap
CARG,2377117440,mid-cap
CARS,1104600320,small-cap
CASA,3468815,micro-cap
CASH,1315070336,small-cap
CASI,31359274,micro-cap
CASS,586980992,small-cap
CASY,11807005696,large-cap
CAT,170282549248,large-cap
CATC,493645152,small-cap
CATO,99116552,micro-cap
CATY,2519373056,mid-cap
CB,101080760320,large-cap
CBAN,193632720,micro-cap
CBAY,3728216832,mid-cap
CBFV,114488664,micro-cap
CBOE,18937114624,large-cap
CBRE,26965469184,large-cap
CBRL,1291216000,small-cap
CBSH,7142952448,mid-cap
CBT,5115709440,mid-cap
CBU,2296332800,mid-cap
CBZ,3598549760,mid-cap
CC,4089760768,mid-cap
CCBG,457381696,small-cap
CCI,41194500096,large-cap
CCK,10149111808,large-cap
CCL,19735148544,large-cap
CCNE,395789984,small-cap
CCO,682045184,small-cap
CCOI,3210892288,mid-cap
CCRN,602346496,small-cap
CCS,2521964288,mid-cap
CDE,1859389696,small-cap
CDLX,612773312,small-cap
CDMO,468480928,small-cap
CDNA,426654816,small-cap
CDNS,76268281856,large-cap
CDTX,55470880,micro-cap
CDW,33191583744,large-cap
CDXC,268853504,small-cap
CDXS,210207760,micro-cap
CDZI,151388096,micro-cap
CE,17417216000,large-cap
CEI,25185754,micro-cap
CEIX,2507642112,mid-cap
CELC,487249600,small-cap
CELH,16860282880,large-cap
CENT,2569706240,mid-cap
CENTA,2562617856,mid-cap
CENX,1623649152,small-cap
CERS,309993952,small-cap
CETX,1485056,micro-cap
CEVA,480119360,small-cap
CF,14905444352,large-cap
CFBK,117393320,micro-cap
CFFI,132869456,micro-cap
CFFN,642587072,small-cap
CFG,15776468992,large-cap
CFR,6747344384,mid-cap
CGNX,7178680832,mid-cap
CHCI,72712680,micro-cap
CHCO,1521786880,small-cap
CHCT,739072832,small-cap
CHD,26027102208,large-cap
CHDN,9486379008,mid-cap
CHE,8574599680,mid-cap
