Ticker,2023_PE,Gsector
BBY,11.016369,Consumer Cyclical
BC,9.60035,Consumer Cyclical
BCBP,6.1428576,Financial Services
BCC,11.508662,Basic Materials
BCLI,-1.9953573,Healthcare
BCO,9.14939,Industrials
BCOV,-163.0,Technology
BCPC,29.096436,Basic Materials
BCRX,-11.885714,Healthcare
BDC,11.499314,Technology
BDL,,Consumer Cyclical
BDN,-14.075757,Real Estate
BDSI,8.873016,
BDX,16.252264,Healthcare
BE,26.784525,Industrials
BEAT,-3.3728814,Healthcare
BECN,11.873054,Industrials
BELFA,12.263159,Technology
BELFB,10.55635,Technology
BEN,8.15929,Financial Services
BERY,6.857831,Consumer Cyclical
BFAM,26.625317,Consumer Cyclical
BFIN,11.517647,Financial Services
BFS,32.796997,Real Estate
BFST,7.8396955,Financial Services
BG,10.351833,Consumer Defensive
BGFV,-23.466665,Consumer Cyclical
BGS,11.95914,Consumer Defensive
BGSF,9.255319,Industrials
BH,-26.838257,Consumer Cyclical
BHB,9.082806,Financial Services
BHE,12.905737,Technology
BHF,2.439638,Financial Services
BHLB,8.958848,Financial Services
BHR,-3.2828574,Real Estate
BHVN,-6.715266,Healthcare
BIG,-0.52414155,Consumer Defensive
BIIB,12.504608,Healthcare
BIO,22.78125,Healthcare
BIOL,-1.3636364,Healthcare
BJ,17.512762,Consumer Defensive
BJRI,22.228188,Consumer Cyclical
BK,9.424217,Financial Services
BKD,-12.172414,Healthcare
BKE,9.147561,Consumer Cyclical
BKH,13.230486,Utilities
BKNG,17.100454,Consumer Cyclical
BKSC,,Financial Services
BKTI,4.1982245,Technology
BKU,8.615142,Financial Services
BL,27.660465,Technology
BLBD,13.467872,Consumer Cyclical
BLCM,-0.07786459,Healthcare
BLD,18.03459,Industrials
BLDR,12.901243,Industrials
BLFS,-39.177776,Healthcare
BLK,16.227797,Financial Services
BLKB,16.230928,Technology
BLMN,9.4577055,Consumer Cyclical
BLUE,-0.55043477,Healthcare
BMI,40.868477,Technology
