Ticker,2020_2021_NI_Grow,2021_2022_NI_Grow,2022_2023_NI_Grow,2023_PE
AVAV,,-117.9504,4107.5454,47.199444
AVB,21.3464,13.1909,-18.293,34.93934
AVD,21.9459,47.4364,-72.5624,11.42
AVGO,127.5676,70.6502,22.5054,25.227316
AVGR,-8.3868,1.2118,3.9551,-0.43333334
AVNS,-123.1618,701.5873,-222.3762,9.821622
AVNW,42755.642,-80.7879,-45.5198,8.194712
AVRO,-0.4895,-11.1109,-111.4808,-3.6515152
AVT,-721.3249,258.5338,11.3304,8.385522
AVTR,391.0806,19.8917,-53.2265,19.764227
AVXL,44.2478,26.561,-0.9859,-5.609375
AVY,33.1355,2.297,-33.5623,20.714422
AWI,-284.8638,10.7533,10.3006,18.272446
AWK,78.1382,-35.0752,15.122,21.477114
AWR,9.1663,-16.9067,59.3461,21.503048
AWRE,-23.5093,-70.364,323.7543,-14.538462
AX,17.5912,11.594,27.6047,7.4109197
AXDX,-0.647,-19.5735,-1.4002,-0.4573196
AXGN,13.4491,7.2744,-24.9827,38.235294
AXL,-101.0511,989.8305,-152.2551,13.943397
AXNX,45.8017,-25.4399,-89.802,79.58321
AXP,157.0973,-6.7742,11.4453,15.95744
AXR,,114.5833,37.3723,
AXS,-613.6925,-63.938,68.678,5.836174
AXSM,26.7272,43.5044,27.8431,60.569103
AXTA,117.023,-27.3967,39.5616,14.751163
AXTI,350.1235,8.4803,-213.0922,16.75
AYI,23.3588,25.3673,-9.8958,15.2860155
AYX,638.4918,77.2222,-43.8871,28.222221
AZO,25.2365,11.9471,4.0674,17.708242
AZPN,39.244,,,27.195742
AZZ,,112.1018,-163.0478,12.932862
B,57.5905,-86.5039,18.6735,16.399998
BA,-64.8103,17.4441,-54.9747,30.18
BAC,78.7079,-13.9158,-3.6799,11.308735
BAH,,-23.3543,-41.7682,24.977964
BANC,4727.0956,-30.2073,-548.3189,6.9183173
BAND,-37.7811,-171.5225,-183.5105,11.402515
BANF,68.3269,15.1942,10.0285,15.943548
BANR,73.4249,-2.8202,-6.016,8.889337
BATRA,-85.8974,210.6545,266.6569,-97.635956
BATRK,-85.8974,210.6545,266.6569,-158.375
BAX,16.5154,-289.486,-209.1656,12.512384
BBCP,-75.3914,-290.2475,10.8593,9.690142
BBGI,-92.0868,2891.6122,78.6132,-4.8821425
BBSI,12.7765,24.1314,7.0746,14.297439
BBW,,-305.652,1.5233,7.9687505
BBY,,36.485,-42.176,11.016369
BC,59.1897,14.1075,-37.9025,9.60035
BCBP,64.1655,33.1162,-35.3145,6.1428576
BCC,307.1837,20.3754,-43.6074,11.508662
BCLI,-23.1178,-0.736,,-1.9953573
BCO,557.5,62.1673,-48.5932,9.14939
BCOV,-192.8436,-267.0372,153.8658,-163.0
BCPC,13.5672,9.6385,3.0142,29.096436
BCRX,0.6827,34.2569,-8.3269,-11.885714
BDC,-215.8859,298.3778,-4.6744,11.499314
BDL,961.6216,-46.4358,-36.6445,
BDN,-95.9778,337.9852,-465.6157,-14.075757
BDSI,230.0533,,,8.873016
BDX,139.3593,-14.9618,-16.5823,16.252264
BE,4.3744,83.288,0.2349,26.784525
BEAT,314.6067,192.7281,12.9378,-3.3728814
BECN,-43.7577,-1107.4725,-5.1047,11.873054
BELFA,93.9898,112.2759,40.126,12.263159
BELFB,93.9898,112.2759,40.126,10.55635
BEN,129.2152,-29.4506,-31.6665,8.15929
BERY,31.127,4.502,-20.4961,6.857831
BFAM,161.0366,14.451,-7.9587,26.625317
BFIN,-19.1313,41.6194,-10.4917,11.517647
BFS,19.8281,3.7302,4.9707,32.796997
BFST,73.8214,4.0644,30.9428,7.8396955
BG,81.4847,-22.5217,39.3168,10.351833
BGFV,83.0282,-74.475,-127.1026,-23.466665
BGS,-48.9628,-116.8787,482.2164,11.95914
BGSF,878.7938,79.7505,-140.3099,9.255319
BH,-193.3902,-190.2475,-271.616,-26.838257
BHB,18.2138,10.8349,2.9731,9.082806
BHE,154.5002,90.7436,-5.7366,12.905737
BHF,-254.8539,136.0925,-128.6672,2.439638
BHLB,-122.2627,-22.021,-24.7858,8.958848
BHR,-74.6689,-166.6104,-252.1142,-3.2828574
BHVN,80.1631,166.7398,-28.4266,-6.715266
BIG,,-71.745,-218.5231,-0.52414155
BIIB,-61.1033,95.8036,-61.8924,12.504608
BIO,11.5365,-185.2684,-82.4309,22.78125
BIOL,-3.9872,77.2125,-27.9458,-1.3636364
BJ,,1.3353,20.28,17.512762
BJRI,-93.7704,-213.0338,382.3356,22.228188
BK,3.9259,-31.5509,27.7108,9.424217
BKD,-221.0573,140.1319,-20.7258,-12.172414
BKE,,95.806,-0.0761,9.147561
BKH,3.9946,9.1677,1.4706,13.230486
BKNG,1874.5763,162.4893,40.2551,17.100454
BKSC,4.3995,-1.3303,,
BKTI,-976.8041,583.8918,-80.8304,4.1982245
BKU,109.7436,-31.3296,-37.302,8.615142
BL,145.4883,-74.4783,-279.7591,27.660465
BLBD,-102.3718,15733.564,-152.0379,13.467872
BLCM,25.6799,157.321,,-0.07786459
BLD,31.1684,71.5931,10.4795,18.03459
BLDR,450.307,59.3453,-43.967,12.901243
BLFS,-549.2184,1469.432,-52.486,-39.177776
BLK,19.6472,-12.2522,6.2572,16.227797
BLKB,-26.163,-896.8936,-104.0082,16.230928
BLMN,-235.8126,-52.7234,142.7566,9.4577055
BLUE,32.4365,-67.4658,,-0.55043477
BMI,23.3893,9.2175,39.2535,40.868477
BMRC,9.8737,40.201,-57.294,9.284314
BMRN,-107.5033,-320.9129,18.426,30.731058
BMY,-177.5818,-9.5367,26.8374,6.8018274
BNED,,-50.7496,47.9327,-0.5472973
BOH,64.7369,-10.8804,-24.1811,15.339573
BOKF,42.087,-15.8299,2.013,10.660165
BOOM,227.6204,-406.6148,50.7967,6.754166
BOOT,,224.0663,-11.378,20.982592
BOTJ,52.3896,18.0524,-2.8463,
